year,harvest,model
1986,0.4061560034751892,TD3
1987,0.24758386611938477,TD3
1988,0,TD3
1989,1.0710954666137695e-4,TD3
1990,0.02447044849395752,TD3
1991,0.06601905822753906,TD3
1992,7.152557373046875e-7,TD3
1993,0,TD3
1994,0,TD3
1995,0,TD3
1999,0,TD3
2000,0,TD3
2006,0,TD3
2007,0,TD3
2012,0,TD3
2013,0,TD3
2014,0,TD3
1986,0.39918533604887985,historical
1987,0.395112016293279,historical
1988,0.24032586558044808,historical
1989,0.2973523421588595,historical
1990,0.2769857433808554,historical
1991,0.45010183299389,historical
1992,0.41140529531568226,historical
1993,0.3095723014256619,historical
1994,0.285132382892057,historical
1995,0.38085539714867617,historical
1999,0.10305498981670061,historical
2000,0.09613034623217923,historical
2006,0.11446028513238289,historical
2007,0.10366598778004073,historical
2012,0.10488798370672098,historical
2013,0.10162932790224033,historical
2014,0.08513238289205703,historical
